id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,property_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_experiences,len_summary,len_rules,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
2875616,4,3,1,0,0,0,98,10,10,10,10,10,10,4,1,1,1,House,3,1,1,2,100,30,3,0,215,10,4.3,1000,4,500,790,24,9,12,25,1,2,1,5,28,0.0571,0.1456,0.3477,0.4176,0.0974,1.0333,0.0526,0.1467,0.4566,0.0983,$119.05,$119.05,$79.00,$79.00,$149.00,$149.00,4,2,14
2886583,3,2,1,0,0,0,96,10,9,10,10,10,9,4,1,0,3,Townhouse,4,1,1,1,500,30,1,15,28,9,0.98,976,4,287,,23,8,12,46,,5,,3,26,0.2031,0.2304,0.7993,0.2576,0.0288,1.8986,0.0557,0.0476,0.8602,0.1105,$69.42,$69.42,$48.00,$48.00,$96.00,$96.00,4,2,14
2897393,3,2,0,0,0,0,89,9,8,9,9,9,9,3,1,0,3,House,2,1,1,1,100,12,1,25,35,9,0.61,1000,4,243,62,,,,,,,,,2,0.5441,1.1451,0.8367,1.248,0.3912,6.4622,0.5397,1.9098,1.8488,0.5545,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,3,2,13
2897706,0,2,1,0,0,0,97,10,10,10,10,10,10,4,1,1,9,House,2,1,1,1,100,85,2,0,173,10,3.05,1000,4,228,68,1,12,1,,,,1,,8,0.0119,0.5649,0.2977,0.8373,0.1178,0.6104,0.2983,0.5027,1.0669,0.1787,$104.10,$104.10,$89.00,$89.00,$115.00,$115.00,4,2,12
2906774,0,3,1,0,0,0,96,10,9,10,10,10,10,2,1,0,1,Apartment,4,1,1,1,,,2,10,17,10,0.29,1004,4,247,234,53,13,18,31,2,3,2,6,40,0.028,0.0133,0.2657,0.2158,0.0994,3.3725,0.0157,0.0954,0.0932,0.1017,$120.64,$120.64,$120.00,$120.00,$135.00,$135.00,4,2,12
2926011,0,2,0,0,0,0,94,10,10,10,10,9,9,2,1,0,1,House,2,1,1,1,,25,1,10,14,9,0.25,1000,4,229,371,7,1,1,3,1,,,,8,0.3336,1.5446,0.744,0.5255,0.2381,5.2284,0.2522,0.4329,0.3428,0.2381,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,4,2,13
2927579,0,3,0,1,0,0,78,8,7.2,8.4,8.5,7.6,7.7,3,1,0,1,Condominium,2,1,1,1,4000,99,1,0,0,,,1000,4,437,17,25,16,3,15,,2,6,3,20,0.1539,0.3456,0.1158,0.0639,0.1164,2.9514,0.102,0.2828,0.626,0.1694,$119.00,$119.00,$119.00,$119.00,$119.00,$119.00,4,2,14
2932425,4,3,1,0,0,0,100,10,10,10,10,10,10,0,,0,1,Apartment,3,1,1,1,,,1,0,2,10,0.04,906,4,227,45,,3,1,,,5,1,,1,0.0479,0.3177,0.0703,0.5936,0.2197,4.3748,0.8037,0.8145,0.9499,0.2197,$120.00,$120.00,$120.00,$120.00,$120.00,$120.00,3,2,11
2939650,3,2,1,0,0,0,93,10,9,10,10,9,9,0,,0,2,Apartment,2,1,1,1,0,60,1,0,72,9,2.08,1000,4,243,626,28,4,14,22,,1,,2,26,0.0911,0.2405,0.9102,0.1963,0.0735,1.9091,0.0423,0.0365,0.9922,0.0735,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,4,2,12
2943239,3,2,0,0,0,0,79,9,7,9,10,8,9,0,,0,2,Condominium,2,2,1,1,250,59,1,45,28,9,0.52,1000,4,168,158,24,3,9,16,,,,2,19,0.3716,0.5097,0.6975,0.2241,0.0582,2.2717,0.1067,0.1502,1.2466,0.1099,$112.09,$112.09,$85.00,$85.00,$133.00,$133.00,4,4,16
