id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_summary,len_rules,NearbyArson,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
57340,0,2,0,0,0,0,95,9,9,10,10,10,9,0,0,0,1,2,1,1,1,0,0,0,1,0,40,9,2.07,1002,412,165,0,53,8,18,54,1,0,1,4,39,0.12,0.81,0.35,0.23,0.08,0.72,0.01,0.06,0.17,0.08,86,86,86,86,86,86,2,1,9
62119,3,2,1,0,0,1,96,10,10,10,10,10,10,4,1,1,1,1,1,1,1,0,0,15,1,10,239,10,2.4,1000,343,545,0,12,9,3,0,0,2,0,2,8,0.15,0.3,0.52,0.34,0.28,3.77,0.32,0.76,0.55,0.28,66.25,66.25,60,60,71,71,3,3,8
65024,0,2,0,0,0,0,96,9,8,10,10,10,9,2,0.77,0,29,1,1,1,1,0,0,0,1,0,5,9,0.22,1000,267,232,0,23,8,12,31,0,0,0,3,20,0.13,0.63,0.65,0.33,0.07,1.95,0.02,0.14,0.62,0.07,35,35,35,35,35,35,3,1,7
67483,3,3,1,1,0,0,89,9,9,10,10,10,9,4,1,0,1,3,1,1,1,0,0,35,2,10,153,9,1.57,1000,374,341,0,50,8,22,25,1,6,2,3,46,0.15,0.33,0.27,0.22,0.11,3.52,0.09,0.1,0.49,0.11,99,89.79,99,89,99,99,3,2,7
72454,3,3,1,0,0,1,87,9,9,9,9,9,9,3,1,0,2,16,4,4,7,0,500,155,8,25,128,9,1.32,1000,0,984,0,20,3,11,34,2,0,0,2,23,0.12,0.68,0.7,0.17,0.03,4.08,0.09,0.05,0.13,0.03,317.71,317.71,81,81,425,425,4,3,12
79610,4,3,1,1,0,0,95,10,9,10,10,10,10,0,0,0,1,2,1,1,1,0,0,0,1,0,99,10,1.12,1000,0,0,1,33,8,12,27,0,1,0,0,20,0.13,0.4,1.12,0.57,0.08,0.3,0.06,0.08,0.59,0.08,128,128,128,128,128,128,4,4,15
79803,3,3,1,0,0,0,98,10,10,10,10,10,10,0,0,0,1,6,1,3,1,0,0,300,1,0,11,10,0.13,265,0,0,0,30,13,6,6,1,2,6,3,22,0.06,0.45,0.22,0.22,0.05,3.26,0.12,0.45,0.5,0.34,395,395,395,395,395,395,4,4,10
79866,4,2,0,0,0,0,98,9,10,10,9,8,9,4,1,1,5,1,1,1,1,0,0,0,1,0,10,9,0.1,1002,0,10,0,59,8,24,64,1,0,0,3,51,0.14,1.01,0.54,0.17,0.08,0.7,0.06,0.1,0.21,0.1,99,99,99,99,99,99,3,3,11
79867,4,2,0,0,1,0,98,10,10,10,10,8,9,4,1,1,5,1,1,1,1,0,0,0,1,0,10,9,0.11,1002,0,59,0,53,8,21,55,1,0,1,3,45,0.08,0.94,0.47,0.23,0.09,0.68,0.04,0.1,0.19,0.09,99,99,99,99,99,99,4,4,10
88235,0,2,0,0,0,0,81,9,7,8,9,9,8,0,0,0,5,2,1,1,1,0,299,29,1,5,23,8,0.5,1000,231,6,0,6,7,3,0,0,0,1,2,9,0.02,0.69,0.41,0.1,0.05,4.13,0.02,1.9,1.32,0.1,59.31,59.31,50,50,64,64,2,2,12
90734,1,3,1,1,0,0,100,10,10,10,10,10,10,1,0.26,0,100,3,1,1,1,0,0,150,1,0,3,10,0.03,1003,170,306,0,14,24,9,0,0,6,3,3,25,0.06,0.13,0.11,0.15,0.07,3.31,0.04,1.28,0.59,0.07,329,329,329,329,329,329,4,4,15
93551,0,2,0,0,0,0,94,9,9,10,10,9,9,4,1,1,4,2,1,1,1,0,200,40,1,20,91,9,0.96,1000,0,8,0,24,11,8,48,2,5,1,2,25,0.06,0.2,0.46,0.19,0.1,2.08,0.09,0.07,0.35,0.1,87.29,87.29,80,80,93,93,4,2,12
96259,1,3,1,0,0,0,83,9,10,10,9,9,8,1,0.26,0,100,4,2,2,2,1000,0,150,1,0,7,8,0.09,1000,98,108,0,40,18,59,23,2,15,10,7,111,0.03,0.16,0.14,0.11,0.02,1.78,0.02,0.34,0.33,0.02,289,289,289,289,289,289,4,4,12
105273,0,3,0,0,0,0,100,10,10,9,9,10,9,2,1,0,2,2,1,1,1,0,0,150,2,20,8,9,0.1,1000,53,0,0,40,13,5,21,1,0,2,5,24,0.21,0.54,0.06,0.18,0.09,3.27,0.07,0.2,0.21,0.31,75,75,75,75,75,75,2,1,11
107801,3,3,1,0,0,0,94,10,10,10,10,8,9,0,0,0,1,8,1,2,5,1500,250,75,4,15,13,9,0.25,1000,222,389,0,32,3,17,35,3,0,0,1,30,0.3,0.72,1.02,0.41,0.15,0.89,0.14,0.1,0.15,0.15,140,140,140,140,140,140,3,2,12
116289,3,3,0,0,0,0,90,10,8,10,10,9,9,0,0,0,1,2,2,1,1,1200,250,50,2,0,2,9,0.02,1000,497,81,0,5,3,6,0,0,2,0,0,9,0.19,0.17,2,0.5,0.11,5.63,0.17,0.7,1.12,0.11,117.24,117.24,95,95,138,138,4,3,11
116951,3,2,0,0,0,0,93,9,9,10,10,9,9,4,1,1,4,2,1,1,1,0,200,40,1,20,79,9,0.84,1000,227,295,0,25,8,6,33,0,4,2,4,20,0.06,0.32,0.4,0.21,0.14,2.21,0.14,0.07,0.69,0.14,74.9,74.9,73,73,75,75,4,2,12
124030,0,3,1,0,0,0,100,10,10,10,10,10,10,0,0,0,1,4,2,2,1,0,0,75,4,25,4,10,0.07,1000,404,291,0,25,11,6,36,1,6,1,1,23,0.12,0.15,0.17,0.34,0.17,2.42,0.11,0.08,0.45,0.17,150,150,150,150,150,150,3,1,10
136400,3,3,1,0,0,0,97,9,10,10,10,10,10,4,1,0,2,4,2,3,3,1800,500,50,4,0,7,10,0.09,679,0,0,0,6,5,1,0,0,3,0,2,1,0.3,0.36,0.84,0.25,0.41,6.58,0.23,2.83,1.79,0.41,188,188,188,188,188,188,3,2,8
145726,0,3,1,0,0,0,97,10,10,10,10,8,10,2,0.8,0,1,2,1,0,1,0,200,45,2,15,97,10,1.04,1000,0,755,0,22,2,14,49,3,0,0,2,28,0.12,0.85,0.8,0.22,0.09,4.23,0.09,0.06,0.27,0.18,89.18,89.18,80,80,120,120,4,3,12
150109,0,3,0,0,0,0,98,10,9,10,10,10,10,3,1,0,1,2,1,1,2,0,400,75,2,20,27,10,0.3,694,0,0,0,28,16,3,6,0,2,5,4,20,0.04,0.43,0.17,0.11,0.15,3.09,0.05,0.41,0.62,0.17,135,135,135,135,135,135,4,1,11
153545,0,2,1,0,0,0,93,9,9,10,10,9,9,3,1,0,5,1,1,1,1,0,0,50,1,25,35,9,0.39,1000,267,900,0,0,0,0,0,0,0,1,0,1,0.6,1,0.5,0.58,0.44,4.57,0.63,0.71,1.22,0.56,49,49,49,49,49,49,4,4,16
155859,0,2,0,0,1,0,98,10,10,10,10,9,10,4,1,1,2,2,1,1,1,0,0,0,1,14,116,10,1.26,1000,500,1000,0,15,3,5,5,1,0,0,3,15,0.22,1,1.14,0.33,0.05,5.51,0.12,0.18,0.43,0.25,63.27,63.27,46,46,83,83,3,4,13
160148,0,2,0,0,0,0,100,9,9,10,9,9,9,4,1,0,7,2,1,1,1,0,500,50,3,0,2,9,0.02,1000,487,0,0,16,10,2,0,0,3,9,1,11,0.11,0.18,0.07,0.27,0.13,3.47,0.16,0.91,0.74,0.29,209,209,209,209,209,209,3,2,9
160597,3,2,0,0,0,0,100,10,10,10,10,10,10,2,1,0,2,2,1,1,1,0,250,50,1,30,18,10,0.22,1000,229,1000,0,0,1,0,0,0,0,0,0,2,0.5,2.08,0.7,1.35,0.44,6.46,0.76,3.36,1.21,1.33,85.7,85.7,80,80,100,100,4,4,15
161913,0,2,0,0,0,0,92,9,10,9,10,8,8,4,1,0,7,3,1,1,2,0,500,100,2,25,5,8,0.09,1000,365,33,0,24,13,4,0,0,3,8,1,17,0.05,0.08,0.07,0.18,0.1,3.36,0.05,0.84,0.65,0.33,145.85,145.85,99,99,159,159,4,3,11
